date,tweets_published,impressions,engagements,engagement_rate,retweets,replies,likes,user_profile_clicks,url_clicks,hashtag_clicks,detail_expands,permalink_clicks,app_opens,app_installs,follows,email_tweet,dial_phone,media_views,media_engagements,promoted_impressions,promoted_engagements,promoted_engagement_rate,promoted_retweets,promoted_replies,promoted_likes,promoted_user_profile_clicks,promoted_url_clicks,promoted_hashtag_clicks,promoted_detail_expands,promoted_permalink_clicks,promoted_app_opens,promoted_app_installs,promoted_follows,promoted_email_tweet,promoted_dial_phone,promoted_media_views,promoted_media_engagements
2021-05-19,0,444,6,0.0135135135135135,0,0,0,2,2,0,0,0,0,0,0,0,0,4,2,,,,,,,,,,,,,,,,,,
2021-05-20,0,455,3,0.0065934065934065,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,,,,,,,,,,,,,,,,,,
2021-05-21,0,448,1,0.0022321428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,
2021-05-22,0,195,1,0.0051282051282051,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,
2021-05-23,0,197,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,
2021-05-24,1,2147,16,0.007452258965999,3,0,5,2,3,0,0,0,0,0,0,0,0,5,3,,,,,,,,,,,,,,,,,,
2021-05-25,2,1933,14,0.0072426280393171,2,1,4,0,2,0,2,0,0,0,0,0,0,4,3,,,,,,,,,,,,,,,,,,
2021-05-26,2,8871,71,0.0080036072596099,6,1,16,8,11,0,9,0,0,0,0,0,0,21,20,,,,,,,,,,,,,,,,,,
2021-05-27,0,1437,12,0.0083507306889352,0,0,0,1,2,0,5,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
2021-05-28,0,539,3,0.0055658627087198,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,
2021-05-29,0,406,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-05-30,0,207,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-05-31,0,159,2,0.0125786163522012,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
2021-06-01,1,4113,42,0.0102115244347191,8,0,15,1,2,1,3,0,0,0,0,0,0,14,12,,,,,,,,,,,,,,,,,,
2021-06-02,0,1160,5,0.0043103448275862,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
2021-06-03,0,346,6,0.0173410404624277,0,0,1,2,1,0,1,0,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,
2021-06-04,0,347,3,0.0086455331412103,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,
2021-06-05,0,155,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-06-06,0,175,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-06-07,1,1016,3,0.0029527559055118,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
2021-06-08,0,398,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-06-09,0,310,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-06-10,0,299,4,0.0133779264214046,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-06-11,0,182,1,0.0054945054945054,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-06-12,0,134,1,0.0074626865671641,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
2021-06-13,0,114,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-06-14,3,5892,65,0.0110319076714188,12,0,17,5,0,2,11,0,0,0,0,0,0,24,18,,,,,,,,,,,,,,,,,,
2021-06-15,0,3132,37,0.0118135376756066,2,1,5,4,0,0,12,0,0,0,0,0,0,15,13,,,,,,,,,,,,,,,,,,
2021-06-16,0,833,9,0.0108043217286914,0,0,0,1,1,0,4,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
2021-06-17,1,4070,78,0.0191646191646191,9,0,22,3,7,0,14,0,0,0,0,0,0,26,23,,,,,,,,,,,,,,,,,,
2021-06-18,0,4637,28,0.0060383868880741,5,0,5,2,1,0,5,0,0,0,0,0,0,11,10,,,,,,,,,,,,,,,,,,
2021-06-19,0,447,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-06-20,0,309,3,0.0097087378640776,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
2021-06-21,1,767,12,0.0156453715775749,1,0,8,2,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
